state,x,y
Bhojpur,359,-139
Dhankuta,390,-163
Ilam,462,-174
Jhapa,455,-214
Khotang,317,-140
Morang,409,-210
Okhaldhunga,279,-122
Panchthar,446,-148
Sankhuwasabha,388,-80
Solukhumbu,322,-73
Sunsari,370,-204
Taplejung,453,-85
Terhathum,416,-137
Udayapur,303,-170
Bara,114,-147
Dhanusha,235,-189
Mahottari,204,-175
Parsa,69,-135
Rautahat,143,-167
Saptari,317,-213
Sarlahi,173,-161
Siraha,271,-194
Bhaktapur,156,-83
Chitwan,16,-96
Dhading,79,-67
Dolakha,252,-65
Kavrepalanchok,175,-96
Kathmandu,137,-74
Lalitpur,139,-100
Makwanpur,83,-99
Nuwakot,114,-55
Ramechhap,249,-107
Rasuwa,133,-21
Sindhuli,211,-126
Sindhupalchok,199,-55
Baglung,-114,-3
Gorkha,70,-7
Kaski,-35,10
Lamjung,18,-4
Manang,-7,43
Mustang,-46,87
Myagdi,-93,26
Nawalpur,-30,-85
Parbat,-52,-15
Syangja,-52,-41
Tanahun,0,-49
Arghakhanchi,-154,-57
Banke,-302,-29
Bardiya,-349,9
Dang,-221,-45
Eastern Rukum,-163,47
Gulmi,-107,-31
Kapilvastu,-163,-87
Nawalparasi (West),-57,-101
Palpa,-77,-63
Pyuthan,-169,-30
Rolpa,-191,4
Rupandehi,-103,-95
Dailekh,-303,69
Dolpa,-150,109
Humla,-287,224
Jajarkot,-250,65
Jumla,-243,116
Kalikot,-299,108
Mugu,-198,161
Salyan,-250,8
Surkhet,-314,32
Western Rukum,-219,50
Achham,-347,97
Baitadi,-444,151
Bajhang,-356,169
Bajura,-312,153
Dadeldhura,-445,145
Darchula,-415,194
Doti,-407,105
Kailali,-398,42
Kanchanpur,-482,73
